latitude,longitude
33.62,72.93
33.62,72.940814
33.62,72.951629
33.62,72.962443
33.62,72.973257
33.62,72.984071
33.62,72.994886
33.62,73.0057
33.62,73.016514
33.62,73.027329
33.62,73.038143
33.62,73.048957
33.62,73.059771
33.62,73.070586
33.62,73.0814
33.62,73.092214
33.62,73.103029
33.62,73.113843
33.62,73.124657
33.62,73.135471
33.62,73.146286
33.629005,72.93
33.629005,72.940815
33.629005,72.951631
33.629005,72.962446
33.629005,72.973262
33.629005,72.984077
33.629005,72.994892
33.629005,73.005708
33.629005,73.016523
33.629005,73.027339
33.629005,73.038154
33.629005,73.04897
33.629005,73.059785
33.629005,73.0706
33.629005,73.081416
33.629005,73.092231
33.629005,73.103047
33.629005,73.113862
33.629005,73.124677
33.629005,73.135493
33.629005,73.146308
33.638011,72.93
33.638011,72.940817
33.638011,72.951633
33.638011,72.96245
33.638011,72.973266
33.638011,72.984083
33.638011,72.994899
33.638011,73.005716
33.638011,73.016532
33.638011,73.027349
33.638011,73.038165
33.638011,73.048982
33.638011,73.059799
33.638011,73.070615
33.638011,73.081432
33.638011,73.092248
33.638011,73.103065
33.638011,73.113881
33.638011,73.124698
33.638011,73.135514
33.638011,73.146331
33.647016,72.93
33.647016,72.940818
33.647016,72.951635
33.647016,72.962453
33.647016,72.973271
33.647016,72.984088
33.647016,72.994906
33.647016,73.005724
33.647016,73.016541
33.647016,73.027359
33.647016,73.038177
33.647016,73.048994
33.647016,73.059812
33.647016,73.07063
33.647016,73.081447
33.647016,73.092265
33.647016,73.103083
33.647016,73.113901
33.647016,73.124718
33.647016,73.135536
33.647016,73.146354
33.656021,72.93
33.656021,72.940819
33.656021,72.951638
33.656021,72.962456
33.656021,72.973275
33.656021,72.984094
33.656021,72.994913
33.656021,73.005732
33.656021,73.01655
33.656021,73.027369
33.656021,73.038188
33.656021,73.049007
33.656021,73.059826
33.656021,73.070645
33.656021,73.081463
33.656021,73.092282
33.656021,73.103101
33.656021,73.11392
33.656021,73.124739
33.656021,73.135557
33.656021,73.146376
33.665027,72.93
33.665027,72.94082
33.665027,72.95164
33.665027,72.96246
33.665027,72.97328
33.665027,72.9841
33.665027,72.99492
33.665027,73.00574
33.665027,73.01656
33.665027,73.027379
33.665027,73.038199
33.665027,73.049019
33.665027,73.059839
33.665027,73.070659
33.665027,73.081479
33.665027,73.092299
33.665027,73.103119
33.665027,73.113939
33.665027,73.124759
33.665027,73.135579
33.665027,73.146399
33.674032,72.93
33.674032,72.940821
33.674032,72.951642
33.674032,72.962463
33.674032,72.973284
33.674032,72.984105
33.674032,72.994926
33.674032,73.005748
33.674032,73.016569
33.674032,73.02739
33.674032,73.038211
33.674032,73.049032
33.674032,73.059853
33.674032,73.070674
33.674032,73.081495
33.674032,73.092316
33.674032,73.103137
33.674032,73.113958
33.674032,73.124779
33.674032,73.1356
33.674032,73.146421
33.683038,72.93
33.683038,72.940822
33.683038,72.951644
33.683038,72.962467
33.683038,72.973289
33.683038,72.984111
33.683038,72.994933
33.683038,73.005755
33.683038,73.016578
33.683038,73.0274
33.683038,73.038222
33.683038,73.049044
33.683038,73.059867
33.683038,73.070689
33.683038,73.081511
33.683038,73.092333
33.683038,73.103155
33.683038,73.113978
33.683038,73.1248
33.683038,73.135622
33.683038,73.146444
33.692043,72.93
33.692043,72.940823
33.692043,72.951647
33.692043,72.96247
33.692043,72.973293
33.692043,72.984117
33.692043,72.99494
33.692043,73.005763
33.692043,73.016587
33.692043,73.02741
33.692043,73.038233
33.692043,73.049057
33.692043,73.05988
33.692043,73.070703
33.692043,73.081527
33.692043,73.09235
33.692043,73.103173
33.692043,73.113997
33.692043,73.12482
33.692043,73.135644
33.692043,73.146467
33.701048,72.93
33.701048,72.940824
33.701048,72.951649
33.701048,72.962473
33.701048,72.973298
33.701048,72.984122
33.701048,72.994947
33.701048,73.005771
33.701048,73.016596
33.701048,73.02742
33.701048,73.038245
33.701048,73.049069
33.701048,73.059894
33.701048,73.070718
33.701048,73.081543
33.701048,73.092367
33.701048,73.103192
33.701048,73.114016
33.701048,73.124841
33.701048,73.135665
33.701048,73.14649
33.710054,72.93
33.710054,72.940826
33.710054,72.951651
33.710054,72.962477
33.710054,72.973302
33.710054,72.984128
33.710054,72.994954
33.710054,73.005779
33.710054,73.016605
33.710054,73.027431
33.710054,73.038256
33.710054,73.049082
33.710054,73.059907
33.710054,73.070733
33.710054,73.081559
33.710054,73.092384
33.710054,73.10321
33.710054,73.114035
33.710054,73.124861
33.710054,73.135687
33.710054,73.146512
33.719059,72.93
33.719059,72.940827
33.719059,72.951653
33.719059,72.96248
